name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority,total_enrollment
Carnegie Mellon University,Yes,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74,1,Pennsylvania,75900,136100,45.0,66,0.3799157861285453,0.0007150234368793,0.1645348375307857,0.0319377135139429,0.0456026058631921,0.0001588940970842,0.2976880908874235,0.0265353142130769,0.0498927464844681,0.3829347739731469,0.2694843886549615,12587.0
Carroll College,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,3,Montana,48200,91400,55.0,25,0.5826388888888889,0.0125,0.0145833333333333,0.0076388888888888,0.0493055555555555,0.0027777777777777,0.7868055555555555,0.0159722222222222,0.0944444444444444,0.0159722222222222,0.1027777777777777,1440.0
Carthage College,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62,18,Wisconsin,48900,85400,48.0,17,0.5396879240162822,0.0040705563093622,0.0111940298507462,0.051899592944369,0.0427408412483039,0.0023744911804613,0.7388059701492538,0.0240841248303934,0.1194029850746268,0.005427408412483,0.1363636363636363,2948.0
Case Western Reserve University,Yes,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,1,Ohio,66600,117800,44.0,37,0.4994893696035651,0.0012997864636524,0.1432550366725466,0.0522699842168786,0.0412217992758332,0.0004642094513044,0.4993965277133042,0.0249744684801782,0.0493918856187911,0.1877263021075109,0.2634852845603936,10771.0
Catawba College,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,22,North Carolina,42500,78100,58.0,11,0.5315384615384615,0.0092307692307692,0.0115384615384615,0.2038461538461538,0.0369230769230769,0.0,0.6884615384615385,0.0215384615384615,0.0023076923076923,0.0261538461538461,0.283076923076923,1300.0
Centenary College of Louisiana,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66,10,Louisiana,47000,88400,37.0,26,0.5654281098546042,0.0096930533117932,0.0339256865912762,0.1421647819063005,0.0565428109854604,0.0016155088852988,0.7027463651050081,0.0355411954765751,0.0,0.0177705977382875,0.2794830371567043,619.0
Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,9,Iowa,49000,88800,55.0,36,0.5216158752657689,0.0035435861091424,0.0106307583274273,0.0184266477675407,0.0311835577604535,0.0014174344436569,0.8816442239546421,0.0099220411055988,0.030474840538625,0.0127569099929128,0.0751240255138199,1411.0
Central Connecticut State University,No,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,12,Connecticut,53100,93700,45.0,15,0.5013707734485336,0.0019107751100772,0.0356401096618758,0.1017695439062889,0.1129018858519564,0.0009138489656891,0.6778267010052339,0.0240923818227133,0.0280800864002658,0.0168646672758993,0.2772285453186009,12037.0
Central Washington University,No,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51,14,Washington,52700,93200,47.0,13,0.520976353928299,0.0055089414357148,0.0450885668276972,0.0309348249851682,0.1211967115857276,0.0116111534875836,0.6209848292228155,0.0601745910670395,0.0957708280362742,0.0087295533519789,0.2745147893889312,11799.0
Centre College,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74,4,Kentucky,49500,88500,52.0,22,0.517664023071377,0.0,0.0331651045421773,0.046142754145638,0.023071377072819,0.0014419610670511,0.7995674116798847,0.0302811824080749,0.0043258832011535,0.0620043258832011,0.1341023792357606,1387.0
Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63,4,Tennessee,51500,96500,60.0,14,0.5614877024595081,0.002999400119976,0.0503899220155968,0.3131373725254949,0.0593881223755249,0.0005998800239952,0.4769046190761847,0.0233953209358128,0.0437912417516496,0.0293941211757648,0.4499100179964007,1667.0
Christopher Newport University,No,883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,17,Virginia,50800,87200,55.0,25,0.5740279639915725,0.0028730128327906,0.0239417736065887,0.079295154185022,0.0494158207239992,0.0009576709442635,0.7546447040796782,0.0480750814020302,0.0381153035816893,0.0026814786439379,0.2045585136946945,5221.0
Claremont McKenna College,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87,9,California,68500,125400,43.0,16,0.4758308157099697,0.0007552870090634,0.107250755287009,0.0407854984894259,0.1163141993957704,0.0007552870090634,0.4222054380664652,0.0762839879154078,0.0657099697885196,0.1699395770392749,0.3421450151057402,1324.0
Clark University,Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,23,Massachusetts,52600,101400,47.0,14,0.5685071574642127,0.0008764241893076,0.0522933099620216,0.0353491089687408,0.0493718959976628,0.0005842827928717,0.5118317265556529,0.0172363423897166,0.0850131463628396,0.2474437627811861,0.1557113643003213,3423.0
Clarkson University,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,8,New York,66400,130100,58.0,58,0.30570617092693,0.0025819777949909,0.0315001290988897,0.0198812290214304,0.0438936225148463,0.000258197779499,0.7725277562612961,0.018848437903434,0.0281435579654014,0.0823650916602117,0.1169635941130906,3873.0
Clemson University,No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18.0,17,7597,73,2,South Carolina,57500,106700,50.0,39,0.4648396394747678,0.0018758292537859,0.0177975019444571,0.061627853776822,0.0271308962803678,0.0006405270622683,0.772109621631514,0.021274648853914,0.0257583382897927,0.0717847829070778,0.1303472571716155,21857.0
Coe College,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,13,Iowa,47200,86900,41.0,24,0.5605849582172702,0.0020891364902506,0.0229805013927576,0.0494428969359331,0.0759052924791086,0.0006963788300835,0.7305013927576601,0.0313370473537604,0.0424791086350974,0.0445682451253481,0.1824512534818941,1436.0
Colby College,Yes,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91,4,Maine,59200,103300,50.0,25,0.5295073091499729,0.0016242555495397,0.0557661072008662,0.0303194369247428,0.0611802923659989,0.0,0.6009745533297238,0.0530590146182999,0.0909583107742284,0.1061180292365999,0.2019491066594477,1847.0
Colgate University,Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93,7,New York,68400,130600,41.0,26,0.5436288088642659,0.0006925207756232,0.0356648199445983,0.0415512465373961,0.0841412742382271,0.0010387811634349,0.6724376731301939,0.034972299168975,0.0422437673130193,0.0872576177285318,0.1980609418282548,2888.0
College of Charleston,No,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,8,South Carolina,47300,85100,44.0,20,0.6397520949720671,0.0018331005586592,0.0157995810055865,0.0718400837988826,0.0417248603351955,0.0011347765363128,0.8049057262569832,0.0350034916201117,0.0130935754189944,0.0146648044692737,0.1673358938547486,11456.0
College of Saint Benedict,Yes,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72,15,Minnesota,49100,88600,50.0,18,1.0,0.0069306930693069,0.0574257425742574,0.0237623762376237,0.048019801980198,0.0014851485148514,0.810891089108911,0.0059405940594059,0.0,0.0455445544554455,0.1435643564356435,2020.0
College of the Holy Cross,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,12,Massachusetts,61800,114600,46.0,24,0.4901327592393254,0.0017940437746681,0.0505920344456404,0.0394689630426982,0.1062073914603516,0.0003588087549336,0.6864011481880158,0.0351632579834947,0.0656620021528525,0.0143523501973448,0.2335844994617868,2787.0
College of William and Mary,No,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93,5,Virginia,59000,108900,42.0,21,,,,,,,,,,,,
Colorado College,Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,5,Colorado,53100,97900,48.0,23,0.5370101596516691,0.0043541364296081,0.0454765360425737,0.02322206095791,0.089017900338655,0.0,0.6550556361877117,0.0836961780358006,0.0299951620706337,0.0691823899371069,0.2457668118045476,2067.0
Connecticut College,Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,8,Connecticut,57500,100800,36.0,30,0.6178947368421053,0.0,0.0352631578947368,0.0326315789473684,0.0857894736842105,0.0,0.7173684210526315,0.0273684210526315,0.0478947368421052,0.0536842105263157,0.1810526315789473,1900.0
Converse College,Yes,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75,21,South Carolina,39000,71000,60.0,8,0.9164866810655148,0.0,0.0028797696184305,0.0719942404607631,0.0403167746580273,0.0,0.4838012958963283,0.0273578113750899,0.3614110871130309,0.0122390208783297,0.142548596112311,1389.0
Cornell College,Yes,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64,6,Iowa,49600,90600,47.0,22,0.5313075506445673,0.003683241252302,0.0239410681399631,0.0506445672191528,0.1289134438305709,0.0027624309392265,0.6629834254143646,0.0423572744014733,0.0405156537753222,0.0441988950276243,0.2523020257826888,1086.0
Creighton University,Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,2,Nebraska,53500,95800,56.0,9,0.5724866440019427,0.0043710539096648,0.0900922778047595,0.0400679941719281,0.0573093734822729,0.0030354541039339,0.7237736765420106,0.0314473045167557,0.0261049052938319,0.0237979601748421,0.2263234579893152,8236.0
Dartmouth College,Yes,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98,1,New Hampshire,71500,130900,44.0,35,0.4711019371228961,0.0161956176563988,0.1230549380755795,0.054144172753255,0.0708161321054303,0.0011114639568116,0.471260717688155,0.038901238488409,0.0714512543664655,0.153064464909495,0.3042235630358844,6298.0
Davidson College,Yes,2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12.0,46,17581,94,3,North Carolina,57300,106900,50.0,28,0.5056497175141242,0.0062146892655367,0.0576271186440678,0.0644067796610169,0.0661016949152542,0.0,0.6892655367231638,0.0401129943502824,0.0175141242937853,0.0587570621468926,0.2344632768361582,1770.0
Delta State University,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,8,Mississippi,40800,74200,63.0,5,0.6209186496956282,0.0011068068622025,0.0066408411732152,0.3666297731045932,0.0124515771997786,0.0013835085777531,0.5633646928610957,0.0063641394576646,0.011344770337576,0.0307138904261206,0.3945766463752075,3614.0
Denison University,Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,5,Ohio,54400,104800,45.0,22,0.5763827919227392,0.0004389815627743,0.0368744512730465,0.0693590869183494,0.1005267778753292,0.0008779631255487,0.6650570676031606,0.035118525021949,0.0193151887620719,0.0724319578577699,0.2431957857769973,2278.0
DePauw University,Yes,1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82,5,Indiana,56600,101000,47.0,24,0.5422121896162528,0.0027088036117381,0.0338600451467268,0.0568848758465011,0.0343115124153498,0.0,0.6848758465011286,0.0650112866817155,0.0284424379232505,0.0939051918735891,0.1927765237020316,2215.0
Dickinson College,Yes,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,21,Pennsylvania,55800,100100,46.0,25,0.5807952622673435,0.0004230118443316,0.0232656514382402,0.0410321489001692,0.060067681895093,0.0004230118443316,0.7356175972927242,0.0338409475465313,0.0194585448392555,0.0858714043993231,0.1590524534686971,2364.0
Dickinson State University,No,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46,5,North Dakota,46400,81200,55.0,8,0.6004056795131846,0.0094658553076402,0.0060851926977687,0.0405679513184584,0.0446247464503042,0.0027045300878972,0.7890466531440162,0.0256930358350236,0.0277214334009465,0.0540906017579445,0.1291413116970926,1479.0
Dillard University,Yes,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61,17,Louisiana,44700,79800,74.0,20,0.7258333333333333,0.0,0.0,0.9233333333333332,0.005,0.0,0.0033333333333333,0.0075,0.0391666666666666,0.0216666666666666,0.9358333333333332,1200.0
Dordt College,Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,8,Iowa,51000,89600,57.0,17,0.4605894448252227,0.002056202878684,0.0089102124742974,0.0150788211103495,0.0082248115147361,0.0705962988348183,0.7237834132967786,0.0,0.0877313228238519,0.0836189170664838,0.1048663468128855,1459.0
Drake University,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15.0,24,9473,77,2,Iowa,52800,99900,49.0,7,0.5875148162781509,0.0019755037534571,0.0395100750691426,0.0316080600553141,0.0322007111813512,0.0001975503753457,0.811932042670881,0.0156064796523113,0.0114579217700513,0.0555116554721454,0.1210983800869221,5062.0
Drew University,Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,16,New Jersey,52800,95000,37.0,16,0.5901561760530052,0.0018930430667297,0.0496923805016564,0.117841930903928,0.0965451964032181,0.0009465215333648,0.4808329389493611,0.0246095598674869,0.142451490771415,0.0851869380028395,0.2915286322763843,2113.0
Duke University,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5.0,44,27206,97,1,North Carolina,71100,132100,50.0,26,0.4976664984863774,0.0041624621594349,0.1430373360242179,0.0729061553985872,0.0502648839556004,0.0012613521695257,0.4911074672048436,0.0232719475277497,0.0311553985872855,0.1828329969727548,0.294904137235116,15856.0
Earlham College,Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,13,Indiana,49100,88400,57.0,31,,,,,,,,,,,,
East Carolina University,No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,11,North Carolina,48400,85400,55.0,11,0.597978990222093,0.0065791865072152,0.028424993638908,0.1584457126240412,0.0544509468939696,0.0009450765148486,0.6927410853840282,0.0286430882192577,0.0206099378430446,0.0091599723746864,0.2774890043982407,27511.0
East Tennessee State University,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14.0,9,9825,42,22,Tennessee,43700,77300,57.0,8,0.5798115560482194,0.0026326728557572,0.0160731605930442,0.0595815435776638,0.0200914507413052,0.0006235277816267,0.829084106969655,0.0236247748371899,0.0144797007066648,0.0338090619370929,0.1226271303865872,14434.0
Eastern Connecticut State University,No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50,17,Connecticut,49200,87800,43.0,14,0.5292226215244941,0.0030262909022129,0.0285606203896349,0.0654435407603555,0.0911670134291658,0.0011348590883298,0.693398902969548,0.0259126158501986,0.080953281634197,0.0104028749763571,0.2152449404198978,5287.0
Eckerd College,Yes,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59,17,Florida,49200,88400,52.0,25,0.6207393182909265,0.0033605376860297,0.0168026884301488,0.0484877580412866,0.0782525204032645,0.0019203072491598,0.7662025924147864,0.0288046087373979,0.013442150744119,0.042726836293807,0.1776284205472875,2083.0
Emory University,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5.0,28,28457,96,2,Georgia,62000,110800,44.0,20,0.565305707901686,0.0017604441736068,0.1544451215383573,0.0998036427652515,0.0591780079897081,0.0005416751303405,0.4492518112262171,0.0228857742568894,0.052542487643036,0.1595910352765928,0.3386146658541539,14769.0
Emporia State University,No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,19,Kansas,43500,78000,60.0,9,0.6277396140006543,0.0047432122996401,0.0085050703303892,0.0444880601897284,0.0554465161923454,0.0011449133137062,0.722113182859012,0.0467778868171409,0.026660124304874,0.0901210336931632,0.1611056591429506,6114.0
